coord_x;coord_y
1912263.23748;4226161.49953
1913645.08214;4223124.81551
1912633.65607;4221216.24226
1914462.2051;4224042.37761
1915513.62815;4222374.90409
1914288.02548;4221306.75113
1914492.80146;4222114.20224
1914454.99065;4221997.77975
1912489.44641;4222542.19676
1914889.59023;4222450.97376
1915352.8466;4224846.54077
1914906.1098;4222604.23163
1915670.35754;4223555.6238
1913821.63517;4224751.80075
1914958.10762;4222775.28878
1914937.54787;4223902.69588
1912502.70711;4223589.84104
1914229.82624;4221935.06852
1914972.73859;4225280.43042
1915591.48332;4222911.92541
1915547.82227;4222536.76687
1914451.19613;4224650.53428
1913779.98858;4221337.61297
1915534.65748;4224577.82517
1915366.40151;4222106.78065
1913922.85701;4223212.64688
1913959.09489;4221876.28062
1912763.52416;4221467.94803
1915268.98094;4224979.56538
1913209.29702;4225728.82135
1913794.97288;4222466.19186
1914825.77169;4222384.45376
1914461.33284;4221895.45725
1913128.82527;4222813.66798
1914271.002;4224517.50735
1915072.56348;4225137.68379
1915038.99233;4224753.20902
1913662.75774;4221460.22831
1912590.22432;4225845.40341
1912426.73593;4223612.00415
1915180.50285;4222678.57088
1915115.20706;4225741.79023
1913170.75518;4222274.94348
1912912.62661;4222820.44838
1913658.27713;4222516.48423
1914990.48381;4224999.84896
1915076.59667;4222522.82513
1915714.09536;4222472.06543
1912522.12224;4222712.91091
1914903.29076;4222322.6857
1914842.52622;4222018.49408
1914202.16477;4222225.58394
1912501.14839;4221928.25159
1914483.82788;4223933.08055
1913598.51591;4221500.43608
1915742.57206;4225364.77981
1913648.24547;4223166.54703
1913189.59536;4224853.12278
1914943.54378;4225385.47351
1914020.46279;4223727.12673
1914850.29637;4223957.55994
1913740.61543;4224637.07729
1912955.46917;4222995.71648
1915622.11628;4223591.12599
1914465.34758;4222290.53075
1915497.35823;4222762.77098
1913716.22003;4225222.29833
1915196.82509;4221618.93334
1914347.09747;4222192.48857
1914310.5425;4221996.30594
1913154.03102;4225273.64989
1914746.32359;4222439.64935
1914957.1441;4222315.67688
1913979.35995;4221970.8079
1915024.23703;4222646.43101
1914243.24602;4221302.23731
1915688.49081;4223582.56287
1915044.05609;4222016.35041
1915283.24122;4223051.41717
1912920.88151;4224788.31133
1914343.47771;4224144.58846
1914666.62425;4222890.90102
1912980.03349;4224811.95468
1913627.52117;4222460.6417
1915721.64041;4222507.47482
1912747.83984;4222032.64943
1912445.99825;4221684.01324
1913156.84509;4223137.22319
1913155.19992;4223108.94868
1912704.36231;4221875.82371
1915105.26794;4224852.20174
1915427.66319;4223042.86819
