ADR_SECTEUR;ANNEEDEPLANTATION;ANNEEREALISATIONDIAGNOSTIC;ANNEETRAVAUXPRECONISESDIAG;CODE;CODE_PARENT;CODE_PARENT_DESC;DIAMETREARBREAUNMETRE;ESPECE;FREQUENTATIONCIBLE;GENRE_BOTA;IDENTIFIANTPLU;INTITULEPROTECTIONPLU;NOTEDIAGNOSTIC;PRIORITEDERENOUVELLEMENT;RAISONDEPLANTATION;REMARQUES;SOUS_CATEGORIE;SOUS_CATEGORIE_DESC;STADEDEDEVELOPPEMENT;STADEDEVELOPPEMENTDIAG;TRAITEMENTCHENILLES;TRAVAUXPRECONISESDIAG;TROTTOIR;TYPEIMPLANTATIONPLU;VARIETE;VIGUEUR
4;2004;2013;N/A;ESP9408;ESP1241;R Marquian Lesage à A Frédet;50 à 60 cm;acerifolia;passages fréquents et arrêts fréquents;Platanus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;N/A;oui;N/A;N/A;vigoureux
3;2004;2013;2015;ESP29151;ESP1220;Ave Beaumarchais;50 à 60 cm;acerifolia;passages fréquents et arrêts fréquents;Platanus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
6;2004;2015;2017;ESP8571;ESP455;All Romantiques LBruyère Vigny;0 à 10 cm;utilis;passages fréquents et arrêts fréquents;Betula;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;Essence ne correspondant pas sur le terrain;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
5;2004;2013;2015;ESP17059;ESP1420;R FG Lorca park contre imeuble;20 à 30 cm;verrucosa;passages fréquents et arrêts fréquents;Betula;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille d'éclaircie;non;N/A;N/A;vigoureux
5;2004;2015;2017;ESP20291;ESP995;Prc Echangeurs Bastion St Roch;20 à 30 cm;domestica;passages fréquents ou arrêts;Prunus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;Essence ne correspondant pas sur le terrain;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;non;N/A;N/A;vigoureux
5;2004;2015;2017;ESP3763;ESP33634;Sq Florian;40 à 50 cm;N/A;passages fréquents ou arrêts;Acer;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
3;2004;2013;2012;ESP12482;ESP124;Stade Bachelard;40 à 50 cm;platanoides;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;0;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Controle;non;N/A;N/A;vigoureux
6;2004;2014;2014;ESP30218;ESP1405;R Maurice Dodero n 12 à 16;20 à 30 cm;nigra;passages fréquents ou arrêts;Pinus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;Haute;Controle;non;N/A;Austriaca;vigoureux
6;2004;2015;2015;ESP24503;ESP1166;Chem du tram;40 à 50 cm;robusta;passages fréquents ou arrêts;Populus;N/A;N/A;Arbre d'avenir incertain;de 11 à 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille de bois mort;non;N/A;N/A;vigoureux
2;2004;2014;2015;ESP29987;ESP1033;Parc 1 Michalon centre;40 à 50 cm;nigra;passages fréquents et arrêts fréquents;Pinus;N/A;N/A;Arbre d'avenir normal;de 11 à 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;Moyenne;Taille de bois mort;non;N/A;Austriaca;vigoureux
