coord_x;coord_y
1913686.94533;4222576.58197
1912951.76222;4222286.73436
1914217.05403;4222260.65282
1914938.09145;4222693.9062
1915354.39721;4224655.89146
1915057.30358;4222168.08422
1912500.28341;4221863.75518
1914616.31396;4221576.41379
1914660.04776;4221734.9178
1914659.40725;4225386.21013
1912500.98661;4221922.69342
1915345.50279;4221489.59428
1914919.63217;4223317.94627
1913176.88635;4224369.45758
1913846.18687;4224741.54834
1915180.43477;4224944.40945
1913621.00246;4223111.14813
1914777.03565;4222480.32669
1915544.08025;4223194.60386
1912784.76771;4223070.49609
1913679.24279;4225161.48552
1914218.23632;4222245.81057
1912637.51557;4221745.90317
1915375.02016;4225286.65019
1913668.28314;4221604.95906
1915192.05311;4221508.65913
1914243.33755;4221729.86489
1914717.06707;4222182.60323
1914933.70718;4223275.0693
1914863.8515;4225327.86027
1915211.51715;4222611.12025
1913987.92202;4221672.56806
1914787.95319;4224934.20161
1914489.61605;4221640.61635
1914964.55696;4222554.91506
1912846.94408;4221901.85932
1914220.49934;4222210.59343
1914805.93832;4222265.18845
1913687.00074;4224695.09796
1915402.64243;4224725.04581
1913380.81571;4225349.9864
1915715.84124;4223443.31305
1914194.10001;4224948.56739
1914151.62377;4222103.20909
1913669.92897;4221456.78376
1915132.24038;4222411.92013
1915443.59861;4223180.76349
1914036.53331;4222885.58848
1914726.51821;4221752.03623
1915478.58147;4224558.6088
1914421.49192;4221527.98374
1914334.07367;4221975.56129
1914679.96262;4221640.21737
1914382.89306;4224030.22525
1914206.61462;4222781.5566
1913418.2494;4225312.56931
1912694.58965;4221471.54122
1915494.30076;4222776.9628
1913403.81308;4223608.31823
1914694.12956;4222668.64999
1914579.50831;4224286.74173
1913863.30736;4223346.04061
1914460.36775;4224659.4263
1915478.97033;4224599.38375
1912443.95653;4223646.32957
1914257.57205;4222520.36849
1912487.01794;4223733.54667
1914679.70828;4222986.53498
1915384.42761;4222946.16542
1915022.70593;4222809.28229
1913133.95835;4224412.33247
1914819.69091;4220554.6842
1915540.18291;4223262.17349
1913380.15388;4225347.07072
1914524.76106;4223839.46951
1915571.78969;4223189.30436
1914235.59074;4221623.69337
1915583.98811;4223591.06623
1915101.80281;4224850.59211
1911926.18979;4226514.0732
1915116.53179;4221805.49862
1915594.77653;4222913.95806
1911937.302;4226233.66307
1914282.9282;4224093.77259
1914207.0555;4222155.71154
1915177.3714;4223130.1588
1913399.91163;4225349.78282
1913793.7869;4223626.80955
1914669.24344;4223152.71404
1915637.63594;4223958.69534
1915047.91937;4222018.18117
1913720.7141;4225240.81862
1912452.00973;4226017.26407
1913103.16945;4222079.29339
1913163.44986;4224527.62204
1913149.757;4224130.21521
1914258.84646;4224158.92308
1913041.8909;4221538.8184
1915939.0489;4222874.6124
1914122.72957;4224908.67063
1915134.93296;4224658.74888
1915222.16556;4224846.2925
1915874.57097;4223134.11247
1914401.5427;4221914.81066
1914211.03686;4222229.26452
1914962.30753;4225222.61161
1914224.88355;4222007.1368
1914177.94477;4225036.10206
1915765.79046;4224528.52183
1914610.29224;4224545.01752
1912773.59221;4222059.57863
1913151.18299;4225821.65839
1915327.55993;4225113.55796
1914729.69218;4223836.48931
1914161.70414;4222497.73769
1914586.88229;4223843.36307
1913366.04009;4225418.13946
1913575.20614;4223201.31237
1913560.5568;4222420.36975
1914685.5001;4224185.5586
1913687.87206;4225139.85817
1915242.34515;4224986.57372
1915191.9926;4222915.36919
1916101.31956;4223244.8538
1914936.49811;4225507.03214
1912978.85366;4225245.09473
1912917.54849;4225428.09089
1915768.90629;4224588.07492
1912594.13458;4221725.84522
1915254.25979;4222035.22134
1915512.67318;4222931.89566
1914641.56519;4223616.47979
1915053.67302;4222550.27235
1915232.67709;4225768.1947
1914744.51282;4225427.05561
1913815.6858;4223295.80336
1912397.51278;4223639.2143
1913804.61786;4223146.90236
1915584.70446;4223021.48826
1913841.83174;4221501.19522
1912901.62205;4223757.30225
1912579.8826;4223061.62929
1913622.10369;4221739.15174
1914978.21107;4224501.11105
1915014.73132;4224622.35753
1914912.74222;4225296.61847
1912694.14346;4221939.02453
1915718.18017;4222592.58043
1914479.01759;4221761.19593
