ADR_SECTEUR;ANNEEDEPLANTATION;ANNEEREALISATIONDIAGNOSTIC;ANNEETRAVAUXPRECONISESDIAG;CODE;CODE_PARENT;CODE_PARENT_DESC;DIAMETREARBREAUNMETRE;ESPECE;FREQUENTATIONCIBLE;GENRE_BOTA;IDENTIFIANTPLU;INTITULEPROTECTIONPLU;NOTEDIAGNOSTIC;PRIORITEDERENOUVELLEMENT;RAISONDEPLANTATION;REMARQUES;SOUS_CATEGORIE;SOUS_CATEGORIE_DESC;STADEDEDEVELOPPEMENT;STADEDEVELOPPEMENTDIAG;TRAITEMENTCHENILLES;TRAVAUXPRECONISESDIAG;TROTTOIR;TYPEIMPLANTATIONPLU;VARIETE;VIGUEUR
1;2014;2014;2019;ESP33367;ESP33624;Av Martyrs impair Sud Horowitz;10 à 20 cm;cordata;passages fréquents ou arrêts;Alnus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre jeune;Arbre jeune;N/A;Controle;oui;N/A;N/A;vigoureux
4;2004;2014;2014;ESP26235;ESP502;R Kennedy Jacquard  Pompidou;20 à 30 cm;siliquastrum;passages fréquents et arrêts fréquents;Cercis;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;Pied protégé (arceaux métalliques);ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Controle tuteur, attache ou protection;non;N/A;N/A;vigueur intermédiaire
3;2004;2014;2014;ESP2811;ESP836;R Hilaire de Chardonnet;20 à 30 cm;cordata;passages fréquents et arrêts fréquents;Alnus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
2;2004;2015;N/A;ESP3174;ESP75;Jard Hoche cour du mikado;10 à 20 cm;verrucosa;passages fréquents ou arrêts;Betula;N/A;N/A;N/A;N/A;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;N/A;vigoureux
5;2011;2014;2015;ESP24147;ESP927;Allée du Verderet;0 à 10 cm;glutinosa;passages fréquents et arrêts fréquents;Alnus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre jeune;Arbre jeune;N/A;Controle;non;N/A;Imperialis;vigoureux
6;2004;2014;2014;ESP20525;ESP1108;R Esmonin sép face Carrefour;30 à 40 cm;acerifolia;passages fréquents et arrêts fréquents;Platanus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;non;N/A;N/A;vigoureux
6;2008;2015;2017;ESP29678;ESP101;Av LBruyère Reynoard Peupliers;0 à 10 cm;cappadocicum;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre jeune;Arbre jeune;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
6;2009;2013;2016;ESP12073;ESP763;Av Reynoard Lbruyère a Village;10 à 20 cm;tomentosa;passages fréquents et arrêts fréquents;Tilia;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre jeune;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
3;2004;2015;N/A;ESP18310;ESP839;Cité Mistral stab Sud 74;20 à 30 cm;nigra;passages fréquents et arrêts fréquents;Pinus;N/A;N/A;Arbre d'avenir incertain;de 11 à 20 ans;N/A;Erreur espèce;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;Haute;N/A;non;N/A;N/A;vigueur intermédiaire
5;2004;2013;2017;ESP18341;ESP134;Av Malherbe pe face écoles;30 à 40 cm;styraciflua;passages fréquents ou arrêts;Liquidambar;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille d'éclaircie;oui;N/A;N/A;vigoureux
5;2004;2015;2020;ESP15819;ESP995;Prc Echangeurs Bastion St Roch;30 à 40 cm;minor;passages fréquents ou arrêts;Ulmus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;LIERRE;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille de bois mort;non;N/A;N/A;vigoureux
5;2004;2014;2015;ESP4568;ESP910;Pl Ch Dullin partie centrale;50 à 60 cm;acerifolia;passages fréquents et arrêts fréquents;Platanus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;Contrainte de bâti.;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Aménagement pieds d'arbres;non;N/A;N/A;vigoureux
5;2004;2014;2015;ESP13147;ESP619;Cité Moyrand R E Cartan;10 à 20 cm;pendula;passages fréquents et arrêts fréquents;Pyrus;N/A;N/A;Arbre d'avenir normal;de 11 à 20 ans;N/A;Rejets sur tronc.;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille de bois mort;non;N/A;N/A;vigueur intermédiaire
2;2004;2013;N/A;ESP30950;ESP1195;Bd Gambetta Dubedout Berriat;30 à 40 cm;negundo;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir normal;de 11 à 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;N/A;oui;N/A;N/A;vigueur intermédiaire
